Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,492911,-,-,-,45.21,5.74,1,716,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,30,3.3000000000000003,1.21,0.0358,0.64,0,0,0,0,-6.300000000000001,0,0,0,0,0.334,49.550000000000004,157.76,0.15,940,0.7000000000000001,80,1
2019,1,1,1,30,0.4,1.56,0.0362,0.64,0,0,0,8,-1.9000000000000001,0,0,0,0,0.289,84.68,155.62,0.16,939,0.7000000000000001,70,0.6000000000000001
2019,1,1,2,30,0.6000000000000001,1.56,0.036000000000000004,0.64,0,0,0,7,-2.3000000000000003,0,0,0,0,0.28600000000000003,81.13,148.55,0.16,940,0.7000000000000001,64,0.8
2019,1,1,3,30,0.8,1.55,0.0363,0.64,0,0,0,8,-2.6,0,0,0,0,0.28400000000000003,77.72,139.13,0.16,939,0.6000000000000001,62,0.8
2019,1,1,4,30,1.1,1.53,0.0388,0.64,0,0,0,4,-3,0,0,0,0,0.28300000000000003,74.2,128.81,0.16,939,0.6000000000000001,62,0.9
2019,1,1,5,30,1.2000000000000002,1.51,0.0414,0.64,0,0,0,7,-3.2,0,0,0,0,0.28200000000000003,72.3,118.26,0.16,939,0.6000000000000001,62,0.9
2019,1,1,6,30,1.3,1.49,0.0429,0.64,0,0,0,7,-3.4000000000000004,0,0,0,0,0.281,70.88,107.87,0.16,939,0.6000000000000001,61,0.9
2019,1,1,7,30,1.5,1.48,0.045200000000000004,0.64,0,0,0,7,-3.5,0,0,0,0,0.279,69.4,97.94,0.16,940,0.6000000000000001,56,0.9
2019,1,1,8,30,2.2,1.48,0.0468,0.64,13,218,18,1,-3.3000000000000003,13,218,0,18,0.278,67.1,88.47,0.16,940,0.6000000000000001,51,0.6000000000000001
2019,1,1,9,30,3.7,1.48,0.046700000000000005,0.64,40,617,139,0,-1.6,40,617,0,139,0.278,68.47,80.71000000000001,0.16,940,0.5,46,0.5
2019,1,1,10,30,5,1.5,0.046700000000000005,0.64,53,771,261,4,-1.4000000000000001,17,0,0,17,0.277,63.25,74.35000000000001,0.16,940,0.5,39,0.5
2019,1,1,11,30,6,1.5,0.0465,0.64,60,839,347,4,-0.5,24,0,0,24,0.276,63.27,70.04,0.16,940,0.5,28,0.6000000000000001
2019,1,1,12,30,6.4,1.53,0.0439,0.64,62,867,383,4,0.5,27,0,0,27,0.274,66.06,68.22,0.16,940,0.5,19,0.7000000000000001
2019,1,1,13,30,6.300000000000001,1.47,0.0414,0.64,60,860,367,4,0.9,26,0,0,26,0.272,68.35000000000001,69.10000000000001,0.16,939,0.5,16,0.7000000000000001
2019,1,1,14,30,5.6000000000000005,1.52,0.0398,0.64,54,814,298,4,1,37,0,0,37,0.271,72.11,72.57000000000001,0.16,939,0.5,15,0.7000000000000001
2019,1,1,15,30,4,1.54,0.0405,0.64,44,700,186,1,1.1,44,700,0,186,0.27,81.39,78.28,0.16,939,0.5,19,0.6000000000000001
2019,1,1,16,30,2.1,1.52,0.0443,0.64,24,418,56,1,0.6000000000000001,24,418,0,56,0.27,90.01,85.66,0.16,939,0.5,26,0.6000000000000001
2019,1,1,17,30,1.2000000000000002,1.48,0.0453,0.64,0,0,0,1,-0.4,0,0,0,0,0.271,89.18,94.62,0.16,939,0.5,29,0.7000000000000001
2019,1,1,18,30,0.8,1.47,0.0432,0.64,0,0,0,1,-1,0,0,0,0,0.271,87.93,104.31,0.16,940,0.5,30,0.7000000000000001
2019,1,1,19,30,0.4,1.45,0.0463,0.64,0,0,0,1,-1.5,0,0,0,0,0.272,87.11,114.57000000000001,0.16,940,0.5,29,0.8
2019,1,1,20,30,0,1.45,0.0472,0.64,0,0,0,1,-2,0,0,0,0,0.273,86.33,125.10000000000001,0.16,940,0.5,30,0.8
2019,1,1,21,30,-0.4,1.46,0.0437,0.64,0,0,0,1,-2.5,0,0,0,0,0.275,85.5,135.55,0.16,939,0.5,31,0.8
2019,1,1,22,30,-0.7000000000000001,1.48,0.041100000000000005,0.64,0,0,0,1,-3,0,0,0,0,0.276,84.17,145.39000000000001,0.16,939,0.5,31,0.8
2019,1,1,23,30,-1.1,1.48,0.039400000000000004,0.64,0,0,0,1,-3.4000000000000004,0,0,0,0,0.275,84.44,153.5,0.16,939,0.6000000000000001,30,0.9
2019,1,2,0,30,-1.2000000000000002,1.47,0.037700000000000004,0.64,0,0,0,4,-3.6,0,0,0,0,0.275,84.03,157.64000000000001,0.16,939,0.6000000000000001,29,0.9
2019,1,2,1,30,-1.5,1.45,0.0393,0.64,0,0,0,1,-3.5,0,0,0,0,0.274,86.39,155.59,0.16,939,0.6000000000000001,27,0.9
2019,1,2,2,30,-1.5,1.44,0.0412,0.64,0,0,0,1,-3.3000000000000003,0,0,0,0,0.273,87.86,148.56,0.16,938,0.6000000000000001,24,0.9
2019,1,2,3,30,-1.5,1.43,0.0438,0.64,0,0,0,4,-3,0,0,0,0,0.272,89.33,139.16,0.16,938,0.5,22,0.9
2019,1,2,4,30,-1.4000000000000001,1.4000000000000001,0.051500000000000004,0.64,0,0,0,0,-2.8000000000000003,0,0,0,0,0.272,90.10000000000001,128.84,0.16,938,0.5,21,0.9
2019,1,2,5,30,-1.3,1.3900000000000001,0.057800000000000004,0.64,0,0,0,0,-2.6,0,0,0,0,0.272,90.8,118.29,0.16,938,0.4,19,1
2019,1,2,6,30,-1.3,1.41,0.0577,0.64,0,0,0,0,-2.4000000000000004,0,0,0,0,0.271,92.11,107.89,0.16,938,0.4,18,1.1
2019,1,2,7,30,-1.2000000000000002,1.43,0.053200000000000004,0.64,0,0,0,0,-2.3000000000000003,0,0,0,0,0.272,92.28,97.96000000000001,0.16,938,0.4,20,1.1
2019,1,2,8,30,-0.7000000000000001,1.44,0.044000000000000004,0.64,14,246,20,0,-2.4000000000000004,14,246,0,20,0.273,88.03,88.47,0.16,938,0.30000000000000004,21,1.2000000000000002
2019,1,2,9,30,0.6000000000000001,1.47,0.0349,0.64,38,668,146,0,-2.5,38,668,0,146,0.274,80,80.7,0.16,939,0.30000000000000004,20,1.4000000000000001
