Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,597263,-,-,-,45.45,9.18,1,117,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,30,4,1.32,0.0648,0.64,0,0,0,0,-0.30000000000000004,0,0,0,0,0.328,73.5,157.6,0.12,1009,0.9,355,0.9
2019,1,1,1,30,1.4000000000000001,1.57,0.051800000000000006,0.63,0,0,0,0,-0.7000000000000001,0,0,0,0,0.297,85.86,154.14000000000001,0.12,1010,1.1,68,1.3
2019,1,1,2,30,1.1,1.57,0.056100000000000004,0.63,0,0,0,0,-1.1,0,0,0,0,0.296,85.34,146.41,0.12,1010,1.1,62,1.3
2019,1,1,3,30,1.1,1.57,0.0611,0.63,0,0,0,1,-1.5,0,0,0,0,0.295,83.01,136.75,0.12,1010,1,63,1.4000000000000001
2019,1,1,4,30,1.4000000000000001,1.56,0.0654,0.63,0,0,0,4,-1.5,0,0,0,0,0.294,80.92,126.38000000000001,0.12,1010,1,71,1.3
2019,1,1,5,30,1.7000000000000002,1.55,0.0695,0.63,0,0,0,7,-1.5,0,0,0,0,0.293,79.16,115.88,0.12,1010,1,84,1.1
2019,1,1,6,30,1.9000000000000001,1.54,0.07390000000000001,0.63,0,0,0,7,-1.4000000000000001,0,0,0,0,0.292,78.55,105.61,0.12,1010,1,99,0.9
2019,1,1,7,30,2.2,1.52,0.079,0.63,0,0,0,7,-1.3,0,0,0,0,0.291,77.87,95.88,0.12,1010,1,112,0.7000000000000001
2019,1,1,8,30,3.2,1.51,0.0844,0.63,21,241,34,7,-1,4,0,3,4,0.289,73.87,86.76,0.12,1011,1,124,0.4
2019,1,1,9,30,4.6000000000000005,1.49,0.0892,0.63,51,540,151,7,0.8,7,0,3,7,0.289,76.19,79.28,0.12,1010,1,170,0.4
2019,1,1,10,30,5.800000000000001,1.47,0.1008,0.63,69,665,259,7,1.3,10,0,0,10,0.289,72.92,73.37,0.12,1010,0.9,224,0.7000000000000001
2019,1,1,11,30,6.6000000000000005,1.47,0.1005,0.63,77,729,331,0,1.9000000000000001,77,729,0,331,0.29,71.7,69.62,0.12,1009,0.9,241,1.1
2019,1,1,12,30,7.1000000000000005,1.48,0.09770000000000001,0.63,79,751,355,4,2.2,40,0,0,40,0.291,71.13,68.41,0.12,1007,0.9,245,1.5
2019,1,1,13,30,7.300000000000001,1.48,0.08990000000000001,0.63,73,745,329,2,2.4000000000000004,36,0,3,36,0.292,71.18,69.9,0.12,1006,0.8,246,1.7000000000000002
2019,1,1,14,30,6.800000000000001,1.49,0.084,0.63,64,685,254,2,2.5,26,0,3,26,0.293,74.29,73.91,0.12,1005,0.8,244,1.4000000000000001
2019,1,1,15,30,4.7,1.5,0.0792,0.63,47,550,142,0,3.5,47,550,0,142,0.294,91.75,80.02,0.12,1004,0.7000000000000001,246,1
2019,1,1,16,30,2.6,1.51,0.0723,0.63,16,219,25,0,1.9000000000000001,16,219,0,25,0.296,95.21000000000001,87.62,0.12,1004,0.7000000000000001,252,0.9
2019,1,1,17,30,1.8,1.52,0.06570000000000001,0.63,0,0,0,0,1.5,0,0,0,0,0.296,98.01,96.88,0.12,1003,0.7000000000000001,260,0.9
2019,1,1,18,30,1.4000000000000001,1.52,0.060700000000000004,0.63,0,0,0,0,1.4000000000000001,0,0,0,0,0.295,99.78,106.69,0.12,1003,0.7000000000000001,275,0.7000000000000001
2019,1,1,19,30,1.2000000000000002,1.52,0.0557,0.63,0,0,0,0,1.2000000000000002,0,0,0,0,0.295,99.89,117,0.12,1002,0.7000000000000001,294,0.6000000000000001
2019,1,1,20,30,1.1,1.53,0.049800000000000004,0.63,0,0,0,0,0.9,0,0,0,0,0.295,98.91,127.5,0.12,1002,0.7000000000000001,310,0.7000000000000001
2019,1,1,21,30,1,1.54,0.0439,0.63,0,0,0,0,0.5,0,0,0,0,0.295,96.73,137.82,0.12,1001,0.7000000000000001,318,0.9
2019,1,1,22,30,0.8,1.54,0.038700000000000005,0.63,0,0,0,0,-0.1,0,0,0,0,0.296,93.46000000000001,147.33,0.12,1000,0.7000000000000001,323,1.1
2019,1,1,23,30,0.7000000000000001,1.55,0.034300000000000004,0.63,0,0,0,0,-0.8,0,0,0,0,0.296,89.82000000000001,154.71,0.12,999,0.7000000000000001,324,1.3
2019,1,2,0,30,0.7000000000000001,1.56,0.0303,0.63,0,0,0,0,-1.3,0,0,0,0,0.297,86.7,157.5,0.12,999,0.7000000000000001,323,1.3
2019,1,2,1,30,0.7000000000000001,1.57,0.027100000000000003,0.63,0,0,0,0,-1.8,0,0,0,0,0.297,83.48,154.11,0.12,999,0.6000000000000001,301,1.3
2019,1,2,2,30,0.4,1.58,0.0256,0.63,0,0,0,0,-2.2,0,0,0,0,0.296,82.54,146.41,0.12,998,0.5,278,1.4000000000000001
