Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,902141,-,-,-,48.21,16.38,1,169,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,30,-0.2,1.06,0.060500000000000005,0.63,0,0,0,0,-0.8,0,0,0,0,0.343,95.62,154.04,0.13,1008,0.6000000000000001,313,3.1
2019,1,1,1,30,-0.7000000000000001,1.42,0.07540000000000001,0.62,0,0,0,4,-0.7000000000000001,0,0,0,0,0.318,100,148.87,0.13,1006,1.2000000000000002,293,1.3
2019,1,1,2,30,-0.4,1.41,0.0835,0.62,0,0,0,7,-0.5,0,0,0,0,0.314,99.57000000000001,140.76,0.13,1005,1.2000000000000002,285,1.5
2019,1,1,3,30,-0.30000000000000004,1.4000000000000001,0.0922,0.62,0,0,0,8,-0.6000000000000001,0,0,0,0,0.312,98.19,131.32,0.13,1005,1.3,277,1.5
2019,1,1,4,30,-0.2,1.4000000000000001,0.1015,0.62,0,0,0,7,-0.6000000000000001,0,0,0,0,0.312,97.28,121.39,0.13,1004,1.3,269,1.4000000000000001
2019,1,1,5,30,0.2,1.41,0.1086,0.62,0,0,0,1,-0.4,0,0,0,0,0.314,95.43,111.46000000000001,0.13,1003,1.3,263,1.5
2019,1,1,6,30,0.7000000000000001,1.41,0.11180000000000001,0.62,0,0,0,4,-0.1,0,0,0,0,0.317,94.41,101.87,0.13,1003,1.3,261,1.7000000000000002
2019,1,1,7,30,1.7000000000000002,1.41,0.11470000000000001,0.62,0,0,0,7,0.4,0,0,0,0,0.32,90.95,92.95,0.13,1002,1.2000000000000002,264,2.2
2019,1,1,8,30,3,1.4000000000000001,0.10940000000000001,0.62,31,289,57,4,1.1,5,0,3,5,0.322,87.60000000000001,84.88,0.13,1002,1.2000000000000002,267,2.7
2019,1,1,9,30,4.2,1.4000000000000001,0.09870000000000001,0.62,55,538,163,7,1.9000000000000001,7,0,3,7,0.321,85.29,78.46000000000001,0.13,1001,1.2000000000000002,266,3.1
2019,1,1,10,30,5.300000000000001,1.42,0.0852,0.62,65,669,251,6,2.6,10,0,0,10,0.319,82.61,73.84,0.13,1000,1.1,264,3.4000000000000004
2019,1,1,11,30,6.1000000000000005,1.44,0.08600000000000001,0.62,71,716,298,6,3.1,71,716,5,298,0.316,80.86,71.44,0.13,999,1,264,3.7
2019,1,1,12,30,6.6000000000000005,1.47,0.09000000000000001,0.62,72,709,297,7,3.3000000000000003,12,0,0,12,0.313,79.47,71.53,0.13,998,1,267,4
2019,1,1,13,30,6.5,1.47,0.0922,0.62,67,660,248,4,3.3000000000000003,17,0,0,17,0.31,79.89,74.08,0.13,997,1,268,4.2
2019,1,1,14,30,5.800000000000001,1.46,0.0878,0.62,53,547,159,4,3,10,0,3,10,0.308,82.27,78.85000000000001,0.13,996,1.2000000000000002,270,4.3
2019,1,1,15,30,4.9,1.44,0.0834,0.62,28,307,53,4,2.5,4,0,3,4,0.308,84.66,85.36,0.13,995,1.3,271,4.5
2019,1,1,16,30,4.5,1.43,0.0811,0.62,0,0,0,4,2.2,0,0,0,0,0.309,85.27,93.52,0.13,995,1.3,274,4.800000000000001
2019,1,1,17,30,4.6000000000000005,1.44,0.0795,0.62,0,0,0,4,2.3000000000000003,0,0,0,0,0.31,84.79,102.5,0.13,994,1.2000000000000002,280,5.300000000000001
2019,1,1,18,30,4.4,1.46,0.07640000000000001,0.62,0,0,0,4,2.2,0,0,0,0,0.313,85.8,112.11,0.13,994,1,284,5.5
2019,1,1,19,30,4.1000000000000005,1.46,0.0702,0.62,0,0,0,7,2.1,0,0,0,0,0.317,86.54,122.05,0.13,993,0.9,285,5.4
2019,1,1,20,30,3.8000000000000003,1.43,0.07060000000000001,0.62,0,0,0,4,1.9000000000000001,0,0,0,0,0.32,87.27,131.96,0.13,993,0.9,287,5.4
2019,1,1,21,30,3.6,1.3900000000000001,0.0737,0.62,0,0,0,2,1.7000000000000002,0,0,0,0,0.323,87.25,141.34,0.13,992,0.9,289,5.4
2019,1,1,22,30,3.4000000000000004,1.33,0.07540000000000001,0.62,0,0,0,0,1.5,0,0,0,0,0.327,87.41,149.29,0.13,991,0.9,293,5.6000000000000005
2019,1,1,23,30,3.4000000000000004,1.27,0.0826,0.62,0,0,0,4,1.4000000000000001,0,0,0,0,0.333,86.76,154.14000000000001,0.13,991,0.9,299,5.7
2019,1,2,0,30,3.3000000000000003,1.16,0.0804,0.62,0,0,0,4,1.2000000000000002,0,0,0,0,0.337,86.41,153.97,0.13,991,0.9,303,5.7
2019,1,2,1,30,2.9000000000000004,1.04,0.06810000000000001,0.62,0,0,0,4,0.6000000000000001,0,0,0,0,0.343,84.71000000000001,148.85,0.13,991,0.7000000000000001,311,6.1000000000000005
2019,1,2,2,30,2.3000000000000003,0.91,0.0534,0.62,0,0,0,4,-0.6000000000000001,0,0,0,0,0.34500000000000003,81.17,140.77,0.13,991,0.7000000000000001,307,6.2
2019,1,2,3,30,1.8,0.72,0.051000000000000004,0.62,0,0,0,4,-1.6,0,0,0,0,0.34500000000000003,77.9,131.34,0.13,990,0.8,299,6.6000000000000005
2019,1,2,4,30,1.8,0.55,0.0682,0.62,0,0,0,0,-2,0,0,0,0,0.34600000000000003,75.83,121.41,0.13,990,0.9,296,7.2
2019,1,2,5,30,2,0.52,0.1075,0.62,0,0,0,6,-1.8,0,0,0,0,0.34700000000000003,75.76,111.47,0.13,990,0.9,300,7.7
