Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3482,-,-,-,28.21,-16.78,0,407,0,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Clearsky DNI,Clearsky DHI,Asymmetry,Clearsky GHI,Cloud Type,Dew Point,Fill Flag,Relative Humidity,Ozone,DNI,DHI,GHI,Solar Zenith Angle,Surface Albedo,Pressure,Wind Speed,Wind Direction,Precipitable Water
2019,1,1,0,30,22,0.41000000000000003,0.054700000000000006,0,0,0.6900000000000001,0,1,12,0,53.18,0.271,0,0,0,169.55,0.14,1062,2,113,1.1
2019,1,1,1,30,22,0.41000000000000003,0.053000000000000005,0,0,0.6900000000000001,0,3,11.200000000000001,0,50.28,0.27,0,0,0,173.19,0.14,1063,1.9000000000000001,112,1
2019,1,1,2,30,22,0.4,0.052000000000000005,0,0,0.6900000000000001,0,1,10.4,0,47.71,0.269,0,0,0,161.34,0.14,1063,1.7000000000000002,105,1
2019,1,1,3,30,22.1,0.37,0.0528,0,0,0.6900000000000001,0,1,9.8,0,45.68,0.269,0,0,0,148.22,0.14,1063,1.7000000000000002,92,1
2019,1,1,4,30,22.200000000000003,0.34,0.056100000000000004,0,0,0.6900000000000001,0,3,9.600000000000001,0,44.69,0.268,0,0,0,135.02,0.14,1063,1.9000000000000001,85,1
2019,1,1,5,30,22.1,0.31,0.0604,0,0,0.6900000000000001,0,1,9.9,0,45.82,0.266,0,0,0,121.94,0.14,1063,2.6,94,0.9
2019,1,1,6,30,22.1,0.28,0.0663,0,0,0.6900000000000001,0,1,10.600000000000001,0,48.02,0.265,0,0,0,109.10000000000001,0.14,1063,3.3000000000000003,105,0.9
2019,1,1,7,30,22.200000000000003,0.25,0.0745,0,0,0.6900000000000001,0,1,11.4,0,50.35,0.263,0,0,0,96.65,0.14,1064,3.6,110,0.9
2019,1,1,8,30,22.6,0.24,0.0859,264,36,0.6900000000000001,61,3,12.3,3,52.02,0.262,0,25,25,84.62,0.14,1065,3.7,112,0.9
2019,1,1,9,30,23.1,0.24,0.0985,601,78,0.6900000000000001,246,3,13.100000000000001,0,53.5,0.262,27,105,113,73.74,0.14,1066,4,115,1
2019,1,1,10,30,23.3,0.22,0.11,738,104,0.6900000000000001,426,7,13.700000000000001,0,54.870000000000005,0.261,175,187,264,64.15,0.14,1066,4.2,119,1
2019,1,1,11,30,23.6,0.2,0.124,793,122,0.6900000000000001,559,7,13.8,0,54.09,0.261,515,185,468,56.63,0.14,1066,4.3,123,1.1
